Filename: ubcmaCtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.4300000000E+02  4.6629148471E-01  8.7808062614E+04  4.0993423771E+04  4.0944151886E+04  8.7992894569E+04
  1.4400000000E+02  4.6785205053E-01  8.7330299629E+04  4.0906649424E+04  4.0857659755E+04  8.7513322013E+04
  1.4500000000E+02  4.7173969183E-01  8.6906591649E+04  4.1046489404E+04  4.0997288762E+04  8.7087802107E+04
  1.4600000000E+02  4.8412643697E-01  8.6534468118E+04  4.1944771621E+04  4.1893623725E+04  8.6713866921E+04
  1.4700000000E+02  4.8361171894E-01  8.6040665868E+04  4.1660668455E+04  4.1610274319E+04  8.6218453229E+04
  1.4800000000E+02  4.8715429694E-01  8.5595481956E+04  4.1748654917E+04  4.1698206834E+04  8.5771652518E+04
  1.4900000000E+02  4.8891325376E-01  8.5137436356E+04  4.1675005784E+04  4.1624821026E+04  8.5312048272E+04
  1.5000000000E+02  4.9006843485E-01  8.4683912101E+04  4.1550743879E+04  4.1500912261E+04  8.4856994454E+04
  1.5100000000E+02  4.9127505676E-01  8.4247637509E+04  4.1438221604E+04  4.1388762899E+04  8.4419144020E+04
  1.5200000000E+02  4.9229522950E-01  8.3821299809E+04  4.1313915138E+04  4.1264826027E+04  8.3991267106E+04
  1.5300000000E+02  4.9355245196E-01  8.3413464147E+04  4.1217695541E+04  4.1168919756E+04  8.3581922284E+04
  1.5400000000E+02  4.9658486067E-01  8.3032924197E+04  4.1281713006E+04  4.1232893093E+04  8.3199890276E+04
  1.5500000000E+02  5.0059324896E-01  8.2657807769E+04  4.1427001839E+04  4.1377940543E+04  8.2823323004E+04
  1.5600000000E+02  5.0132996983E-01  8.2257653871E+04  4.1286896250E+04  4.1238227134E+04  8.2421794993E+04
  1.5700000000E+02  5.0275167858E-01  8.1871986580E+04  4.1209691231E+04  4.1161278682E+04  8.2034781315E+04
  1.5800000000E+02  5.0380374677E-01  8.1490780118E+04  4.1103467307E+04  4.1055360351E+04  8.1652266972E+04
  1.5900000000E+02  5.0471551536E-01  8.1117633732E+04  4.0989119059E+04  4.0941328314E+04  8.1277848309E+04
  1.6000000000E+02  5.0563721493E-01  8.0752956452E+04  4.0879183110E+04  4.0831699998E+04  8.0911930791E+04
  1.6100000000E+02  5.0651623021E-01  8.0395648404E+04  4.0768881459E+04  4.0721700754E+04  8.0553412565E+04
  1.6200000000E+02  5.0737194761E-01  8.0046185562E+04  4.0660074148E+04  4.0613189067E+04  8.0202769294E+04
  1.6300000000E+02  5.0819274361E-01  7.9704747527E+04  4.0551967224E+04  4.0505374324E+04  7.9860180430E+04
  1.6400000000E+02  5.0898292936E-01  7.9370345982E+04  4.0444456338E+04  4.0398151202E+04  7.9524657168E+04
  1.6500000000E+02  5.0958925140E-01  7.9040491865E+04  4.0324179525E+04  4.0278185079E+04  7.9193712023E+04
  1.6600000000E+02  5.0920691610E-01  7.8713704694E+04  4.0127083663E+04  4.0081562822E+04  7.8865865440E+04
  1.6700000000E+02  5.1031634861E-01  7.8408627693E+04  4.0058522528E+04  4.0013204584E+04  7.8559737664E+04
  1.6800000000E+02  5.1097228192E-01  7.8104648582E+04  3.9954358126E+04  3.9909310514E+04  7.8254737813E+04
  1.6900000000E+02  5.1175456459E-01  7.7803591503E+04  3.9861143751E+04  3.9816343093E+04  7.7952684809E+04
  1.7000000000E+02  5.1263539402E-01  7.7506743900E+04  3.9777274891E+04  3.9732700198E+04  7.7654865547E+04
  1.7100000000E+02  5.1354123260E-01  7.7214401300E+04  3.9697138045E+04  3.9652778818E+04  7.7361577277E+04
  1.7200000000E+02  5.1444992174E-01  7.6936212999E+04  3.9623981909E+04  3.9579828756E+04  7.7082468357E+04
  1.7300000000E+02  5.1531302798E-01  7.6677120578E+04  3.9556675886E+04  3.9512719182E+04  7.6822480240E+04
  1.7400000000E+02  5.1623969786E-01  7.6410677919E+04  3.9489993357E+04  3.9446225282E+04  7.6555157332E+04
  1.7500000000E+02  5.1721320075E-01  7.6144340881E+04  3.9426446938E+04  3.9382858266E+04  7.6287956699E+04
  1.7600000000E+02  5.1821981506E-01  7.5882819067E+04  3.9367398741E+04  3.9323980464E+04  7.6025590481E+04
  1.7700000000E+02  5.1924891251E-01  7.5631189215E+04  3.9314671226E+04  3.9271412751E+04  7.5773129887E+04
